country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",30-03-2025 05:00,23.182719,75.768218,PM2.5,21,40,30
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",30-03-2025 05:00,19.10122,74.73339,SO2,3,9,6
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",30-03-2025 05:00,19.10122,74.73339,CO,30,106,51
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",30-03-2025 05:00,19.10122,74.73339,OZONE,13,192,82
India,Madhya Pradesh,Indore,"Vijay Nagar Scheme-78, Indore - Glenmark",30-03-2025 05:00,22.76726,75.8871,PM2.5,50,54,52
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",30-03-2025 05:00,23.163174,79.973061,SO2,10,53,39
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",30-03-2025 05:00,23.163174,79.973061,CO,9,34,28
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",30-03-2025 05:00,23.142888,79.916147,NH3,2,4,3
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",30-03-2025 05:00,23.168606,79.932247,NO2,22,77,40
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",30-03-2025 05:00,11.875,75.3732,PM10,52,56,54
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",30-03-2025 05:00,8.5637,76.8865,NO2,6,7,6
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",30-03-2025 05:00,8.5637,76.8865,OZONE,36,37,36
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",30-03-2025 05:00,8.5149093,76.9435879,CO,11,18,15
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",30-03-2025 05:00,16.7602,77.1428,PM2.5,58,500,102
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",30-03-2025 05:00,16.7602,77.1428,PM10,97,137,109
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",30-03-2025 05:00,16.7602,77.1428,NO2,10,70,40
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",30-03-2025 05:00,10.073232,76.302765,NO2,6,9,8
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",30-03-2025 05:00,10.073232,76.302765,NH3,1,1,1
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",30-03-2025 05:00,12.21041,76.37376,NH3,2,6,5
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",30-03-2025 05:00,12.21041,76.37376,SO2,1,13,5
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",30-03-2025 05:00,12.21041,76.37376,OZONE,4,122,21
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",30-03-2025 05:00,12.733409,77.298051,OZONE,7,227,87
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",30-03-2025 05:00,23.10844,77.511428,PM10,98,250,145
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",30-03-2025 05:00,23.10844,77.511428,NO2,16,121,63
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",30-03-2025 05:00,19.0364585,72.8954371,PM2.5,59,122,84
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",30-03-2025 05:00,19.0364585,72.8954371,PM10,109,164,139
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",30-03-2025 05:00,19.0364585,72.8954371,NH3,9,17,11
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",30-03-2025 05:00,19.10078,72.87462,PM10,79,112,97
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",30-03-2025 05:00,19.10078,72.87462,NO2,32,55,38
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",30-03-2025 05:00,19.10078,72.87462,OZONE,7,8,7
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",30-03-2025 05:00,18.91,72.82,PM10,27,100,72
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",30-03-2025 05:00,18.91,72.82,NH3,3,3,3
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",30-03-2025 05:00,18.91,72.82,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",30-03-2025 05:00,19.04946,72.923,PM2.5,37,317,166
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",30-03-2025 05:00,19.04946,72.923,PM10,140,345,212
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",30-03-2025 05:00,19.083694,72.920967,PM10,116,155,136
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",30-03-2025 05:00,19.854616,75.905894,SO2,1,4,3
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",30-03-2025 05:00,19.854616,75.905894,OZONE,34,261,61
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",30-03-2025 05:00,19.25292,73.142019,NO2,5,17,8
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",30-03-2025 05:00,19.25292,73.142019,SO2,4,14,7
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",30-03-2025 05:00,16.6870449,74.2505872,PM2.5,29,82,61
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",30-03-2025 05:00,16.6870449,74.2505872,CO,2,49,15
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",30-03-2025 05:00,16.7143745,74.2426398,PM2.5,52,81,65
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",30-03-2025 05:00,16.7143745,74.2426398,NO2,6,43,18
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",30-03-2025 05:00,16.7143745,74.2426398,OZONE,6,118,55
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",30-03-2025 05:00,18.39963,76.57452,SO2,9,23,14
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",30-03-2025 05:00,18.1023399,73.4783687,CO,6,60,27
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",30-03-2025 05:00,18.1023399,73.4783687,OZONE,5,96,31
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",30-03-2025 05:00,20.555712,74.529236,PM2.5,49,314,113
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",30-03-2025 05:00,20.555712,74.529236,NO2,42,46,44
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",30-03-2025 05:00,20.555712,74.529236,NH3,9,10,10
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",30-03-2025 05:00,19.065931,72.862131,NH3,5,21,8
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",30-03-2025 05:00,19.065931,72.862131,SO2,2,17,6
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",30-03-2025 05:00,19.8389439,75.244448,CO,30,46,41
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",30-03-2025 05:00,19.863756,75.321188,NO2,23,63,39
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",30-03-2025 05:00,19.0243902,73.0406721,PM2.5,71,180,112
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",30-03-2025 05:00,19.0243902,73.0406721,NH3,7,15,11
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",30-03-2025 05:00,19.0243902,73.0406721,CO,13,58,47
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",30-03-2025 05:00,19.309073,73.057223,PM10,102,157,125
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",30-03-2025 05:00,19.786089,72.757971,SO2,17,73,33
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",30-03-2025 05:00,19.9629,79.298714,NH3,2,2,2
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",30-03-2025 05:00,19.9775302,79.2337086,NO2,29,34,33
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",30-03-2025 05:00,20.918946,74.776388,NO2,35,40,38
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",30-03-2025 05:00,20.918946,74.776388,NH3,1,2,2
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",30-03-2025 05:00,21.001264,75.565602,PM2.5,55,126,72
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",30-03-2025 05:00,19.2058,72.8682,NO2,1,2,1
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",30-03-2025 05:00,19.215859,72.831718,NO2,19,66,60
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",30-03-2025 05:00,19.215859,72.831718,SO2,14,28,23
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",30-03-2025 05:00,19.0632143,72.8456324,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",30-03-2025 05:00,19.1653323,72.922099,CO,18,52,31
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",30-03-2025 05:00,19.0863,72.8888,PM10,105,199,143
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",30-03-2025 05:00,19.0863,72.8888,CO,6,23,17
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",30-03-2025 05:00,18.96702,72.84214,SO2,1,68,21
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",30-03-2025 05:00,19.1878657,72.8304069,PM2.5,53,93,66
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",30-03-2025 05:00,19.1878657,72.8304069,OZONE,7,174,24
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB",30-03-2025 05:00,19.175,72.9419,NH3,3,4,4
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",30-03-2025 05:00,19.23241,72.86895,PM10,104,153,132
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",30-03-2025 05:00,18.9767,72.838,SO2,11,47,17
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",30-03-2025 05:00,18.9767,72.838,CO,6,46,20
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",30-03-2025 05:00,18.9767,72.838,OZONE,3,274,83
